datetime,open,high,low,close
2022-07-11,20831.69922,20835.59961,19886.18945,19947.5
2022-07-10,21578.91016,21590.68945,20675.43945,20835.59961
2022-07-09,21597.32031,21941.57031,21333.32031,21580.05078
2022-07-08,21632.99023,22478.36914,21189.58984,21597.32031
2022-07-07,20537.63086,21842.24023,20264.46094,21633.11914
2022-07-06,20184.34961,20640.78906,19764.32031,20537.63086
2022-07-05,20196.25,20702.0293,19278.50977,20184.34961
2022-07-04,19292.55078,20279.93945,19035.40039,20196.25
2022-07-03,19220.17969,19596.09961,18797.33984,19292.55078
2022-07-02,19252.71094,19390.69922,18977.82031,19220.17969
2022-07-01,19950.53906,20752.73047,18980.05078,19248.2207
2022-06-30,20083.90039,20133.34961,18650.0,19941.41016
2022-06-29,20261.40039,20402.81055,19874.10938,20083.90039
2022-06-28,20701.24023,21189.49023,20184.25977,20261.40039
2022-06-27,21031.05078,21493.34961,20526.82031,20701.24023
2022-06-26,21479.60938,21841.08984,20982.23047,21031.05078
2022-06-25,21205.08984,21557.73047,20900.03906,21479.60938
2022-06-24,21108.13086,21510.03906,20732.2793,21205.08984
2022-06-23,19960.91016,21174.19922,19881.33984,21108.13086
2022-06-22,20695.73047,20862.76953,19763.33984,19953.93945
2022-06-21,20550.2207,21688.42969,20349.34961,20700.0
2022-06-20,20565.21094,20981.42969,19620.85938,20551.82031
2022-06-19,18952.82031,20775.36914,17937.31055,20557.34961
2022-06-18,20444.57031,20740.5293,17598.05078,18968.36914
2022-06-17,20368.7793,21306.83008,20220.01953,20434.93945
2022-06-16,22560.43945,22921.39062,20207.41992,20368.7793
2022-06-15,22145.7207,22728.73047,20096.93945,22560.43945
2022-06-14,22430.89062,23250.0,20831.32031,22135.7207
2022-06-13,26592.7793,26835.16992,22005.0,22425.75
2022-06-12,28383.78906,28510.0,26582.10938,26592.7793
2022-06-11,29059.65039,29406.15039,28086.09961,28380.13086
2022-06-10,30069.5293,30320.85938,28847.13086,29059.65039
2022-06-09,30187.23047,30663.16016,29919.35938,30072.61914
2022-06-08,31108.71094,31296.44922,29849.08984,30184.18945
2022-06-07,31360.58008,31544.31055,29210.51953,31105.30078
2022-06-06,29899.25977,31738.01953,29867.56055,31348.33984
2022-06-05,29845.69922,30138.15039,29512.94922,29906.40039
2022-06-04,29677.41992,29940.99023,29463.07031,29841.16016
2022-06-03,30431.80078,30659.61914,29277.7207,29677.41992
2022-06-02,29784.76953,30653.94922,29592.26953,30431.11914
2022-06-01,31780.66992,31961.91016,29363.00977,29784.76953
2022-05-31,31715.58984,32371.0,31201.82031,31780.66992
2022-05-30,29449.33008,32161.0293,29284.61914,31720.41992
2022-05-29,29005.81055,29550.0,28817.63086,29449.33008
2022-05-28,28574.48047,29221.80078,28500.00977,29005.81055
2022-05-27,29139.23047,29351.89062,28250.80078,28580.33984
2022-05-26,29516.96094,29845.41016,28000.0,29186.7793
2022-05-25,29628.36914,30175.0293,29322.14062,29520.67969
2022-05-24,29067.81055,29793.84961,28660.09961,29628.36914
2022-05-23,30260.83984,30623.46094,28876.44922,29067.81055
2022-05-22,29407.89062,30425.0,29229.28906,30260.83984
2022-05-21,29158.08008,29600.06055,28955.7793,29406.93945
2022-05-20,30269.75,30699.81055,28705.55078,29158.08008
2022-05-19,28663.74023,30499.33984,28654.23047,30269.75
2022-05-18,30415.5,30662.66016,28609.48047,28663.74023
2022-05-17,29829.5,30700.38086,29446.43945,30415.5
2022-05-16,31268.82031,31298.64062,29072.76953,29797.30078
2022-05-15,30035.81055,31370.25977,29461.41992,31282.78906
2022-05-14,29232.9707,30258.0293,28601.55078,30044.16992
2022-05-13,28956.56055,30951.16992,28685.58984,29234.92969
2022-05-12,28901.90039,30069.94922,25409.48047,28956.56055
2022-05-11,31001.89062,32101.5,27714.11914,28917.38086
2022-05-10,30091.7207,32631.58984,29786.88086,31004.0
2022-05-09,34049.35156,34214.23828,30091.7207,30091.7207
2022-05-08,35463.03125,35495.92188,33747.12109,34035.10938
2022-05-07,36006.78125,36118.89844,34836.37891,35461.07031
2022-05-06,36549.71875,36646.25,35300.66016,35997.58984
2022-05-05,39672.83984,39811.91016,36186.82031,36549.71875
2022-05-04,37719.58984,39972.55078,37657.62891,39680.14844
2022-05-03,38496.57812,38639.21875,37507.92188,37719.73828
2022-05-02,38465.39062,39113.69922,38049.51172,38506.80078
2022-05-01,37662.46875,38663.58984,37403.57812,38465.39062
2022-04-30,38576.30859,38773.51953,37603.48047,37662.46875
2022-04-29,39747.67188,39926.28125,38180.07812,38575.37109
2022-04-28,39243.55859,40372.73047,38895.17969,39755.82812
2022-04-27,38124.67188,39470.0,37910.37891,39248.03125
2022-04-26,40454.80078,40782.07031,37748.76953,38124.67188
2022-04-25,39464.55859,40592.33984,38217.0,40439.44922
2022-04-24,39446.46094,39926.05859,39000.0,39474.82812
2022-04-23,39716.76953,39985.73828,39301.23828,39440.80078
2022-04-22,40488.01953,40794.42969,39194.58984,39716.76953
2022-04-21,41392.44141,42965.78125,39794.08984,40483.98047
2022-04-20,41497.96875,42209.57031,40910.0,41370.89844
2022-04-19,40793.87109,41733.66016,40580.23047,41505.98828
2022-04-18,39707.76172,41091.03125,38577.69922,40804.44141
2022-04-17,40380.23828,40590.55078,39564.0,39707.76172
2022-04-16,40576.87891,40687.83984,40022.19141,40379.19922
2022-04-15,39943.92969,40800.26172,39777.26172,40562.53906
2022-04-14,41146.67969,41504.85156,39590.37109,39942.60156
2022-04-13,40076.46875,41517.85156,39579.51953,41128.62109
2022-04-12,39512.80859,40665.25,39266.92188,40087.94922
2022-04-11,42159.35938,42421.30859,39300.35938,39501.82031
2022-04-10,42771.55859,43420.64844,41919.44141,42222.55859
2022-04-09,42262.01953,42814.42188,42124.80078,42806.46875
2022-04-08,43452.17969,43986.73047,42117.01953,42260.57031
2022-04-07,43165.14844,43892.66016,42760.55859,43469.46094
