datetime,open,high,low,close
2022-04-02,1.1039,1.1053,1.1039,1.1041
2022-04-01,1.107,1.10765,1.1028,1.1039
2022-03-31,1.1161,1.1184,1.1064,1.1069
2022-03-30,1.1089,1.1171,1.1083,1.1162
2022-03-29,1.099,1.1137,1.097,1.1089
2022-03-28,1.09895,1.1,1.0945,1.0991
2022-03-26,1.0987,1.09905,1.0981,1.09825
2022-03-25,1.09975,1.1038,1.0981,1.0987
2022-03-24,1.10085,1.1014,1.0966,1.0999
2022-03-23,1.10225,1.1044,1.0964,1.10085
2022-03-22,1.1016,1.10455,1.096,1.1023
2022-03-21,1.106,1.1066,1.1015,1.1015
2022-03-19,1.10475,1.1057,1.1046,1.1051
2022-03-18,1.11,1.1119,1.1003,1.105
2022-03-17,1.1002,1.1138,1.0993,1.11
2022-03-16,1.094,1.1039,1.094,1.1
2022-03-15,1.0957,1.102,1.0926,1.094
2022-03-14,1.0943,1.0994,1.0901,1.0959
2022-03-12,1.0904,1.0917,1.0903,1.0912
2022-03-11,1.0986,1.1043,1.0902,1.0902
2022-03-10,1.1066,1.11205,1.0981,1.09875
2022-03-09,1.09175,1.1095,1.089,1.10665
2022-03-08,1.088,1.0959,1.0847,1.0916
2022-03-07,1.0931,1.0931,1.0807,1.0881
2022-03-05,1.09335,1.09405,1.091,1.0925
2022-03-04,1.1063,1.1068,1.0888,1.09335
2022-03-03,1.11285,1.1134,1.1034,1.1062
2022-03-02,1.1122,1.1145,1.1058,1.1129
2022-03-01,1.1215,1.1233,1.109,1.1123
2022-02-28,1.1154,1.1246,1.1123,1.1215
2022-02-26,1.1257,1.12745,1.125,1.1268
2022-02-25,1.11915,1.1267,1.1166,1.12575
2022-02-24,1.13095,1.1313,1.1107,1.1191
2022-02-23,1.1328,1.1359,1.1304,1.1309
2022-02-22,1.1317,1.1367,1.12885,1.1329
2022-02-21,1.13155,1.13885,1.13105,1.1317
2022-02-19,1.13305,1.1336,1.1321,1.1323
2022-02-18,1.13625,1.1377,1.1315,1.133
2022-02-17,1.13775,1.13955,1.1324,1.1363
2022-02-16,1.13585,1.13973,1.13482,1.13765
2022-02-15,1.1298,1.1374,1.128,1.13598
2022-02-14,1.1344,1.1369,1.1292,1.1297
2022-02-12,1.135,1.1365,1.13305,1.135
2022-02-11,1.1464,1.1466,1.1342,1.13505
2022-02-10,1.1433,1.1495,1.1375,1.14645
2022-02-09,1.14235,1.1448,1.14025,1.1432
2022-02-08,1.14265,1.1449,1.1401,1.142
2022-02-07,1.14685,1.1469,1.1415,1.14205
2022-02-05,1.1455,1.146,1.14475,1.1449
2022-02-04,1.14425,1.1483,1.1412,1.14535
2022-02-03,1.13095,1.1451,1.1269,1.1443
2022-02-02,1.12495,1.13295,1.1243,1.131
2022-02-01,1.12335,1.1279,1.1221,1.1249
2022-01-31,1.11395,1.12345,1.11385,1.12315
2022-01-29,1.1152,1.1154,1.1141,1.115
2022-01-28,1.11445,1.1173,1.1122,1.1152
2022-01-27,1.12855,1.13,1.1132,1.1146
2022-01-26,1.12965,1.1311,1.12715,1.12855
2022-01-25,1.13275,1.1334,1.1263,1.12965
2022-01-24,1.1343,1.1345,1.12905,1.1328
2022-01-22,1.13445,1.13465,1.13385,1.1344
2022-01-21,1.1318,1.13595,1.1301,1.1344
2022-01-20,1.13485,1.1369,1.1316,1.1318
2022-01-19,1.1327,1.1357,1.1315,1.13485
2022-01-18,1.14085,1.14215,1.1319,1.13275
2022-01-17,1.1413,1.1435,1.13915,1.1409
2022-01-15,1.14105,1.1418,1.14065,1.1416
2022-01-14,1.14585,1.1483,1.13985,1.141
2022-01-13,1.14385,1.1482,1.14355,1.1459
2022-01-12,1.13665,1.1446,1.1355,1.144
2022-01-11,1.1323,1.1369,1.1313,1.1367
2022-01-10,1.1353,1.1361,1.1285,1.1323
2022-01-08,1.13575,1.1365,1.1357,1.1361
2022-01-07,1.1291,1.1363,1.1286,1.13575
2022-01-06,1.1338,1.13395,1.1285,1.1293
2022-01-05,1.12805,1.13465,1.1277,1.13375
2022-01-04,1.1295,1.1323,1.1273,1.1281
2022-01-03,1.1368,1.1381,1.128,1.12945
2022-01-01,1.13845,1.1386,1.1369,1.1371
2021-12-31,1.1306,1.13865,1.1303,1.13845
2021-12-30,1.1341,1.136,1.1299,1.1306
2021-12-29,1.13035,1.1369,1.12735,1.1341
2021-12-28,1.1326,1.13335,1.12895,1.13035
2021-12-27,1.1318,1.13345,1.13025,1.1325
2021-12-25,1.1323,1.1328,1.1304,1.132
2021-12-24,1.1332,1.1344,1.13075,1.1323
2021-12-23,1.13255,1.1342,1.12905,1.1332
2021-12-22,1.12735,1.13425,1.1264,1.13245
2021-12-21,1.1281,1.1303,1.1261,1.1273
2021-12-20,1.1243,1.1304,1.1235,1.1281
2021-12-18,1.12535,1.1259,1.1235,1.124
2021-12-17,1.1321,1.1349,1.1253,1.1253
2021-12-16,1.1251,1.136,1.1222,1.13205
2021-12-15,1.12655,1.12795,1.12485,1.12595
2021-12-14,1.12945,1.13255,1.12635,1.12635
2021-12-13,1.1317,1.13195,1.12615,1.1295
2021-12-11,1.13155,1.132,1.13095,1.1312
2021-12-10,1.12935,1.1324,1.12655,1.1316
2021-12-09,1.1345,1.1355,1.12785,1.1294
2021-12-08,1.1253,1.135,1.12505,1.13455
2021-12-07,1.12825,1.12995,1.12275,1.12525
2021-12-06,1.1321,1.1321,1.1267,1.1283
2021-12-04,1.13245,1.1327,1.13015,1.1316
2021-12-03,1.13025,1.1333,1.12665,1.1324
2021-12-02,1.1328,1.13475,1.1296,1.1304
2021-12-01,1.13105,1.13595,1.1303,1.1327
2021-11-30,1.1268,1.1383,1.1236,1.131
2021-11-29,1.13025,1.1316,1.12585,1.12675
2021-11-27,1.1309,1.133,1.1309,1.1319
2021-11-26,1.1207,1.1321,1.1206,1.131
2021-11-25,1.1193,1.123,1.1189,1.1207
2021-11-24,1.1249,1.1255,1.1186,1.1193
2021-11-23,1.12405,1.1275,1.1226,1.1248
2021-11-22,1.1292,1.12925,1.1237,1.12395
2021-11-20,1.1287,1.1292,1.128,1.1281
2021-11-19,1.1368,1.1374,1.125,1.12875
2021-11-18,1.13185,1.1375,1.13115,1.1368
2021-11-17,1.1328,1.13325,1.1264,1.1318
2021-11-16,1.1385,1.139,1.13195,1.1327
2021-11-15,1.1449,1.1464,1.1378,1.1385
2021-11-13,1.1447,1.14495,1.1442,1.1444
2021-11-12,1.14485,1.1462,1.1433,1.14475
2021-11-11,1.1497,1.1499,1.14465,1.14485
2021-11-10,1.159,1.1599,1.1483,1.14985
2021-11-09,1.15875,1.1608,1.157,1.15895
2021-11-08,1.1555,1.1595,1.15505,1.1587
2021-11-06,1.15505,1.1574,1.155,1.1568
2021-11-05,1.15525,1.15685,1.1513,1.155
2021-11-04,1.161,1.1617,1.1529,1.1553
2021-11-03,1.1582,1.1616,1.1562,1.1611
2021-11-02,1.1606,1.1614,1.1575,1.1581
2021-11-01,1.1559,1.1608,1.1546,1.16065
2021-10-30,1.15595,1.1565,1.1552,1.1558
2021-10-29,1.1684,1.169,1.1535,1.156
2021-10-28,1.1609,1.1692,1.1582,1.16835
2021-10-27,1.15965,1.1626,1.1585,1.1609
2021-10-26,1.1613,1.1626,1.15845,1.15965
2021-10-25,1.16435,1.1665,1.15905,1.1613
2021-10-23,1.1637,1.1646,1.1635,1.1642
2021-10-22,1.1624,1.1655,1.162,1.1637
2021-10-21,1.16555,1.16675,1.16215,1.1624
2021-10-20,1.16395,1.1659,1.16165,1.1656
2021-10-19,1.161,1.167,1.16085,1.164
2021-10-18,1.1593,1.1623,1.1571,1.1611
2021-10-16,1.1605,1.1606,1.1598,1.1601
2021-10-15,1.1599,1.16205,1.1588,1.1605
2021-10-14,1.159,1.16245,1.1584,1.1599
2021-10-13,1.15295,1.1593,1.1527,1.1589
2021-10-12,1.1559,1.15705,1.1524,1.153
2021-10-11,1.1578,1.15875,1.1552,1.15595
2021-10-09,1.1577,1.1578,1.15685,1.1569
2021-10-08,1.15515,1.1585,1.1542,1.1577
2021-10-07,1.15505,1.15725,1.1548,1.1551
2021-10-06,1.1603,1.1605,1.15285,1.1556
2021-10-05,1.1623,1.1623,1.158,1.1596
2021-10-04,1.15925,1.1641,1.1587,1.1621
2021-10-01,1.1582,1.1608,1.15625,1.1594
2021-09-30,1.1596,1.16115,1.1562,1.1581
2021-09-29,1.1683,1.1691,1.1589,1.1595
2021-09-28,1.1696,1.1704,1.16675,1.1681
